Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Energy_Joules,Flight_Time_s,Collisions,Coverage_pct
41,0.3,Normal,Drone 4,Success,1.4742,2385.1349,3.9113,4049.37,39.8,0,99.84
41,0.3,Early,Drone 0,Success,1.8388,1725.3505,4.016,3714.86,29.25,0,99.75
41,0.3,Early,Drone 1,Success,1.8953,2038.8859,4.0125,3710.9,31.0,0,99.75
41,0.3,Early,Drone 2,Success,1.8358,2480.3186,3.9533,3763.18,36.45,0,99.75
41,0.3,Early,Drone 3,Success,1.6765,1558.5493,3.5837,3666.81,22.45,0,99.75
41,0.3,Early,Drone 4,Success,2.1533,2459.6867,3.9211,3715.13,33.95,0,99.75
69,0.3,Normal,Drone 0,Success,1.5678,1791.8456,3.9354,3331.08,32.7,0,99.28
69,0.3,Normal,Drone 1,Success,1.3471,2296.5963,3.8118,4052.39,39.7,0,99.28
69,0.3,Normal,Drone 2,Success,1.0153,1629.1997,4.0061,3469.78,33.9,0,99.28
69,0.3,Normal,Drone 3,Success,1.4579,2327.2666,3.9222,4447.38,43.75,0,99.28
69,0.3,Normal,Drone 4,Success,1.286,2202.8561,3.6912,3756.41,36.65,0,99.28
69,0.3,Early,Drone 0,Success,2.2398,1738.3731,3.9427,3795.93,27.25,0,99.25
69,0.3,Early,Drone 1,Success,1.9586,2201.2105,3.8167,3845.5,34.15,0,99.25
69,0.3,Early,Drone 2,Success,1.6003,1745.3912,4.0224,3827.9,29.25,0,99.25
69,0.3,Early,Drone 3,Success,2.1125,2292.7621,3.9305,3847.46,37.65,0,99.25
69,0.3,Early,Drone 4,Success,1.8957,2205.5605,3.6975,3846.57,31.9,0,99.25
55,0.3,Normal,Drone 0,Success,1.0726,1612.0152,4.0043,3394.69,33.25,0,98.86
55,0.3,Normal,Drone 1,Success,1.3753,1713.84,3.99,3119.14,30.5,0,98.86
55,0.3,Normal,Drone 2,Success,1.3647,2573.7883,3.7816,4259.84,41.8,0,98.86
55,0.3,Normal,Drone 3,Success,1.1728,1819.8368,3.8319,3845.17,37.6,0,98.86
55,0.3,Normal,Drone 4,Success,1.5432,2245.5648,3.7684,3500.92,34.45,0,98.86
55,0.3,Early,Drone 0,Success,1.6816,1661.2837,4.0144,3500.69,29.4,0,98.63
55,0.3,Early,Drone 1,Success,2.0136,1686.449,3.9992,3490.43,25.55,0,98.63
55,0.3,Early,Drone 2,Success,2.071,2476.8593,3.7922,3540.19,34.45,0,98.63
55,0.3,Early,Drone 3,Success,1.6431,1752.3986,3.8438,3542.26,32.75,0,98.63
55,0.3,Early,Drone 4,Success,2.205,2180.3802,3.7729,3488.71,28.75,0,98.63
99,0.3,Normal,Drone 0,Success,1.3584,1938.7713,3.8101,3412.3,33.55,0,98.84
99,0.3,Normal,Drone 1,Success,1.4638,1564.8199,3.9971,2712.41,26.6,0,98.84
99,0.3,Normal,Drone 2,Success,1.2697,2415.9725,3.8472,4419.89,43.25,0,98.84
99,0.3,Normal,Drone 3,Success,1.4751,1515.5726,3.726,2624.63,25.65,0,98.84
99,0.3,Normal,Drone 4,Success,1.3694,2479.3564,3.9994,4243.91,41.55,0,98.84
99,0.3,Early,Drone 0,Success,1.9781,2008.0709,3.8197,3703.75,27.7,0,98.44
99,0.3,Early,Drone 1,Success,2.1322,1589.6609,4.0049,3671.67,22.15,0,98.44
99,0.3,Early,Drone 2,Success,1.8701,2366.3193,3.8587,3776.96,36.65,0,98.44
99,0.3,Early,Drone 3,Success,2.0763,1447.248,3.7334,3678.17,22.0,0,98.44
99,0.3,Early,Drone 4,Success,2.039,2552.7376,4.0087,3758.22,35.65,0,98.44
1,0.3,Normal,Drone 0,Success,1.0304,2119.5387,4.0077,3951.5,38.6,0,99.39
1,0.3,Normal,Drone 1,Success,1.1911,1678.5759,4.0048,3475.95,34.15,0,99.39
