Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Energy_Joules,Flight_Time_s,Collisions,Coverage_pct, Solve_Time
99,0.3,Normal,Drone 0,Success,1.2592,5801.6311,0.2277,3507.22,34.45,0,99.08,0.014802
99,0.3,Normal,Drone 1,Success,1.3172,5461.2104,0.2048,2753.72,26.95,0,99.08,0.014802
99,0.3,Normal,Drone 2,Success,1.2464,7134.8548,0.2615,4563.1,44.7,0,99.08,0.014802
99,0.3,Normal,Drone 3,Success,1.3893,1885.3852,0.2033,2636.24,25.75,0,99.08,0.014802
99,0.3,Normal,Drone 4,Success,1.3019,10874.1427,0.21,4520.16,44.35,0,99.08,0.014802
99,0.3,Early,Drone 0,Success,1.8753,9990.5185,0.3437,4025.3,31.0,0,98.63,0.016219
99,0.3,Early,Drone 1,Success,2.1399,4310.0278,0.3509,3988.66,24.1,0,98.63,0.016219
99,0.3,Early,Drone 2,Success,1.8461,8376.6008,0.4264,4093.24,39.85,0,98.63,0.016219
99,0.3,Early,Drone 3,Success,2.0897,1948.0237,0.3445,3988.66,23.55,0,98.63,0.016219
99,0.3,Early,Drone 4,Success,2.0433,10398.8757,0.2987,4084.34,38.6,0,98.63,0.016219
1,0.3,Normal,Drone 0,Success,0.9888,7604.5941,0.2685,4124.99,40.35,0,99.67,0.015441
1,0.3,Normal,Drone 1,Success,1.2534,4189.5384,0.1899,3584.63,35.2,0,99.67,0.015441
1,0.3,Normal,Drone 2,Success,1.1451,8675.9305,0.23,4355.34,42.55,0,99.67,0.015441
1,0.3,Normal,Drone 3,Success,1.3096,2906.3048,0.2507,3129.36,30.8,0,99.67,0.015441
1,0.3,Normal,Drone 4,Success,1.3114,4093.6048,0.1948,3669.81,36.0,0,99.67,0.015441
1,0.3,Early,Drone 0,Success,1.6412,6750.1509,0.451,3948.82,35.35,0,99.43,0.017085
1,0.3,Early,Drone 1,Success,1.8947,4813.7605,0.2946,3907.01,31.25,0,99.43,0.017085
1,0.3,Early,Drone 2,Success,1.6162,11570.453,0.4294,3962.73,38.55,0,99.43,0.017085
1,0.3,Early,Drone 3,Success,1.9584,4179.9028,0.3864,3876.85,26.85,0,99.43,0.017085
1,0.3,Early,Drone 4,Success,2.1829,3367.3305,0.2981,3904.69,30.4,0,99.43,0.017085
7,0.3,Normal,Drone 0,Success,1.1128,9644.3662,0.2423,4173.46,40.9,0,99.06,0.015113
7,0.3,Normal,Drone 1,Success,1.4884,3108.2304,0.1887,2714.93,26.7,0,99.06,0.015113
7,0.3,Normal,Drone 2,Success,1.1891,8280.8393,0.2485,3737.82,36.55,0,99.06,0.015113
7,0.3,Normal,Drone 3,Success,1.1211,5767.2673,0.2628,3294.82,32.15,0,99.06,0.015113
7,0.3,Normal,Drone 4,Success,1.3465,5416.9927,0.2436,5038.77,49.2,0,99.06,0.015113
7,0.3,Early,Drone 0,Success,1.9105,9601.493,0.3874,4304.2,34.2,0,98.7,0.022027
7,0.3,Early,Drone 1,Success,2.6222,4029.6067,0.2918,4226.68,23.5,0,98.7,0.022027
7,0.3,Early,Drone 2,Success,1.7486,6057.3899,0.3864,4290.55,32.3,0,98.7,0.022027
7,0.3,Early,Drone 3,Success,1.7039,7606.2266,0.3985,4284.0,29.4,0,98.7,0.022027
7,0.3,Early,Drone 4,Success,2.0296,5892.8956,0.3738,4368.48,42.4,0,98.7,0.022027
77,0.3,Normal,Drone 0,Success,1.1515,9606.847,0.2537,4023.56,39.4,0,99.36,0.014941
